campaign_id,rank,image_id,duplicate_group_id,canonical_image_id,diagnostic_accept_score,campaign_score_percentile_desc,feature_snapshot_id
phase1b_botanical_spring_program,4,raw_780275f394,dup_exact_df8beaf82173,raw_780275f394,0.9658217692656678,0.94,feat_v2_2_5__phase1b_botanical_spring_program__raw_780275f394__layout_top_left_bottom_left
phase1b_botanical_spring_program,5,raw_50d3d9c9da,dup_exact_c0ae56ade264,raw_50d3d9c9da,0.9623750616391726,0.92,feat_v2_2_5__phase1b_botanical_spring_program__raw_50d3d9c9da__layout_top_left_bottom_left
phase1b_botanical_spring_program,6,raw_e1064a803d,dup_exact_0ebb91e1a6e4,raw_e1064a803d,0.9612896182270758,0.9,feat_v2_2_5__phase1b_botanical_spring_program__raw_e1064a803d__layout_top_left_bottom_left
phase1b_botanical_spring_program,7,raw_41179036b8,dup_exact_c90c21a044aa,raw_22d63fd86a,0.9582429723040149,0.88,feat_v2_2_5__phase1b_botanical_spring_program__raw_41179036b8__layout_top_left_bottom_left
phase1b_botanical_spring_program,8,raw_22d63fd86a,dup_exact_c90c21a044aa,raw_22d63fd86a,0.9039484630810307,0.86,feat_v2_2_5__phase1b_botanical_spring_program__raw_22d63fd86a__layout_top_left_bottom_left
phase1b_botanical_spring_program,9,raw_31b278973b,dup_exact_30bc26797ec5,raw_31b278973b,0.8767124800932627,0.84,feat_v2_2_5__phase1b_botanical_spring_program__raw_31b278973b__layout_top_left_bottom_left
phase1b_botanical_spring_program,10,raw_0c5ae66373,dup_exact_c6ee6e354165,raw_0c5ae66373,0.835387244207591,0.8200000000000001,feat_v2_2_5__phase1b_botanical_spring_program__raw_0c5ae66373__layout_top_left_bottom_left
phase1b_indoor_gallery_winter_art,1,raw_dbff971c57,dup_exact_0443c28f5723,raw_dbff971c57,0.9916634659166796,1.0,feat_v2_2_5__phase1b_indoor_gallery_winter_art__raw_dbff971c57__layout_top_left_bottom_left
phase1b_indoor_gallery_winter_art,2,raw_50d3d9c9da,dup_exact_c0ae56ade264,raw_50d3d9c9da,0.9819861681809118,0.98,feat_v2_2_5__phase1b_indoor_gallery_winter_art__raw_50d3d9c9da__layout_top_left_bottom_left
phase1b_indoor_gallery_winter_art,3,raw_31b278973b,dup_exact_30bc26797ec5,raw_31b278973b,0.9703197955616836,0.96,feat_v2_2_5__phase1b_indoor_gallery_winter_art__raw_31b278973b__layout_top_left_bottom_left
